altezza; peso; sesso; età; sport; occupazione; esperienza_web; esperienza_cucina; obiettivo; opinione_stile_di_vita; importanza_stile_di_vita; query1; nomericettasinistra1; nomericettadestra1; ordinamentosinistra1; ordinamentodestra1; preferenza1; saporito1; sano1; perd/prend_peso1; facile1; etichette_mostrate1; query2; nomericettasinistra2; nomericettadestra2; ordinamentosinistra2; ordinamentodestra2; preferenza2; saporito2; sano2; perd/prend_peso2; facile2; etichette_mostrate2; query3; nomericettasinistra3; nomericettadestra3; ordinamentosinistra3; ordinamentodestra3; preferenza3; saporito3; sano3; perd/prend_peso3; facile3; etichette_mostrate3; numero_associato
172;74;Female;41-59; 1 time at week;Personale dell'azienda pubblica;daily;3;lose weight;Molto importante;Abbastanza sano;TARTINE;Tic Tac Toe Tartine with Red Radishes;SMOKED SALMON TARTINE with asparagus butte;calorie;anti-calorie;Ricetta lato destro;4;4;4;4;1;RISOTTO;Tomato Risotto;Beet Risotto;calorie;anti-calorie;Ricetta lato sinistro;4;5;3;4;1;CROSTATA;Cinnamon-Apple Crostata;Pear and Cranberry Crostata;etichette;anti-calorie;Ricetta lato sinistro;3;3;4;4;0;5368870
173;70;Female;41-59;2-3 times at week;Personale dell'azienda pubblica;monthly;3;No goals;Molto importante;Abbastanza sano;Pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;proteine;anti-calorie;Nessuno di questi due;1;1;1;1;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Ricetta lato sinistro;3;2;1;3;0;Mascarpone;Lemon-Blueberry with Mascarpone Oatmeal;Orange Marmalade Tarts with Bittersweet Chocolate Ganache and Mascarpone Crème;calorie;anti-calorie;Ricetta lato sinistro;4;3;2;4;1;2242247
168;85;Female;41-59;0;Unemployed;daily;5;lose weight;Not important;;Prosciutto;Panino di Prosciutto e Fontina;Prosciutto-wrapped Mozzarella;etichette;anti-calorie;Left side recipe;5;4;1;5;1;Pasta-pesto;Spinach-Walnut Pesto;Delicioso Antipasto Pasta Salad;proteine;anti-calorie;Right side recipe;5;5;1;5;1;Crostata;Apple Crostata Recipe;Pear and Cranberry Crostata;nutriscore;anti-calorie;Left side recipe;5;5;1;5;1;5906715
180;85;Male;41-59; 1 time at week;Public company staff;daily;1;No goals;Important;Healty;Andrea;Chopped Egg and Garlic Vinaigrette;Salt and Pepper Shrimp;calorie;anti-calorie;Right side recipe;3;4;4;4;1;Andrea;Andrea's Steamed Buns;Salt and Pepper Shrimp;etichette;anti-calorie;Right side recipe;3;4;3;4;1;Andrea;This Sweet Breakfast Galette Will Make Your Morning Peachy;Andrea’s Fudge recipes;calorie;anti-calorie;Left side recipe;3;4;3;4;0;9670893
172;55;Female;41-59;0;Public company staff;rarely;2;gain weight;Very important;Quite healty;Pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;calorie;anti-calorie;Left side recipe;2;4;4;5;0;Rice;Quickie Pickled Radishes;Salmon Rice Fritters;proteine;anti-calorie;Right side recipe;3;2;2;3;0;Cake;Simple Spiderweb Cake;Cake Doughnuts recipes;proteine;anti-calorie;None of these two;1;4;1;2;1;4773963
175;73;Male;20-25;4-5 times at week;Student;daily;3;lose weight;Important;Quite healty;Chicken;Mexicali Chicken;Fried Chicken;nutriscore;anti-calorie;Left side recipe;3;2;3;3;0;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Left side recipe;5;5;5;5;1;Pancake;Chris Santos's Oreo Pancake Recipe Is a Brunch-Party Pleaser;Chocolate Candy Cane Tower;proteine;anti-calorie;Left side recipe;5;5;5;5;0;3122004
160;100;Female;60+;0;Public company staff;monthly;5;lose weight;Very important;Not healthy;prosciutto;Panino di Prosciutto e Fontina;Prosciutto-wrapped Mozzarella;etichette;anti-calorie;Right side recipe;4;1;2;5;1;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;None of these two;1;1;1;1;0;Chocolate;Chocolate & Banana;Chocolate Cake with Chocolate-Coffee Buttercream;proteine;anti-calorie;Left side recipe;5;2;1;4;0;1299896
158;60;Female;41-59;0;Personale dell'azienda pubblica;rarely;4;No goals;Molto importante;Abbastanza sano;Pesce;Pesce Al Forno Con Pomodorini E Gremolata recipes;Crostini di Pesce Spada (smoked swordfish toasts);calorie;anti-calorie;Ricetta lato destro;3;5;3;1;0;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Ricetta lato sinistro;3;3;1;5;1;Gelato;Strawberry Gelato recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;nutriscore;anti-calorie;Ricetta lato sinistro;3;5;3;5;1;7804662
173;93;Male;41-59;0;Self employed;rarely;5;No goals;Poorly important;Quite healty;Hamburger;Cream Cheese Pizza Pasties;Pulled Pork with Black Pepper Vinegar;etichette;anti-calorie;Right side recipe;5;5;5;5;1;rice;Quickie Pickled Radishes;Salmon Rice Fritters;proteine;anti-calorie;Right side recipe;2;2;2;2;1;cake;Simple Spiderweb Cake;Cake Doughnuts recipes;proteine;anti-calorie;Left side recipe;4;4;4;4;1;1617879
166;72;Female;41-59;2-3 times at week;Personale dell'azienda pubblica;rarely;3;lose weight;Molto importante;Abbastanza sano;Prosciutto;Panino di Prosciutto e Fontina;Prosciutto-wrapped Mozzarella;etichette;anti-calorie;Ricetta lato destro;3;3;1;5;0;Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;etichette;anti-calorie;Nessuno di questi due;1;1;1;2;1;Ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;proteine;anti-calorie;Nessuno di questi due;1;1;1;1;0;7950298
156;56;Female;41-59; 1 time at week;disoccupato;daily;2;lose weight;Molto importante;Abbastanza sano;Sedano;Fried Celery (Sedano Fritto);TARTARE DI SALMONE con champignon, sedano e semi di papavero recipes;proteine;anti-calorie;Ricetta lato destro;3;5;5;3;0;Spaghetti;Syrian Candied Gourd for Rosh Hashanah recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Ricetta lato destro;5;4;3;2;1;Latte;Gingerbread “not” A Latte recipes;Chocolate Cinnamon Latte;proteine;anti-calorie;Ricetta lato sinistro;3;3;2;3;0;2961783
167;56;Female;41-59; 1 time at week;Personale aziendale privato;rarely;3;lose weight;Molto importante;Abbastanza sano;Pollo;Empanadas de Pollo al Verdeo (Chicken and Spring Onion Empanadas);Lizzys Pollo,Cilantro and Lime Empanada's;etichette;anti-calorie;Ricetta lato sinistro;5;5;4;5;0;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Ricetta lato destro;5;4;3;3;1;Crema;Frozen Chocolate Dream Shooters;Mexican Chocolate Pecan Pie;calorie;anti-calorie;Ricetta lato sinistro;4;3;4;4;0;8190173
182;84;Male;41-59;2-3 times at week;Personale dell'azienda pubblica;rarely;2;lose weight;Importante;Abbastanza sano;polpo;Steamed Monkfish: Polpo in Umido;POLPO AL PINOT NERO con patate e salsa all;nutriscore;anti-calorie;Ricetta lato destro;5;4;4;4;1;cavatelli;Ricotta Cavatelli with Toasted Walnuts & Baby Greens recipes;Ricotta Cavatelli With Bacon And Zucchini;etichette;anti-calorie;Ricetta lato sinistro;5;5;5;5;0;sacher;Red Cabbage with Apples (Rotkraut Mit Apfeln);Sacher Torte recipes;etichette;anti-calorie;Ricetta lato destro;5;3;3;3;0;5719755
165;90;Female;41-59;0;Personale dell'azienda pubblica;monthly;3;lose weight;Molto importante;Abbastanza sano;Salmone;Avocado On Rye Crackers With Smoked Salmon;Salmon Wellington;nutriscore;anti-calorie;Ricetta lato sinistro;1;5;1;2;0;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Ricetta lato sinistro;1;5;1;1;0;Crostata;Cinnamon-Apple Crostata;Pear and Cranberry Crostata;etichette;anti-calorie;Ricetta lato sinistro;4;4;1;1;1;4091363
165;90;Female;41-59;0;Personale dell'azienda pubblica;monthly;3;lose weight;Molto importante;Abbastanza sano;Formaggio;Zucchini al Formaggio;Pasta Quattro Formaggio Con Prosciutto E Cavolfiore Recipe;calorie;anti-calorie;Ricetta lato sinistro;5;1;1;1;1;Riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;nutriscore;anti-calorie;Ricetta lato destro;2;5;1;1;1;Torta;Torta Mimosa;Torta di Castagne - Chestnut Cake;calorie;anti-calorie;Ricetta lato sinistro;3;5;1;3;0;1705258
160;56;Female;41-59;0;Public company staff;daily;3;lose weight;Very important;Healty;fish;Naomi Duguid's Fish Cakes and Fish Balls;Smoked Fish with Mustard, Dill and Caper Sauce;calorie;anti-calorie;Left side recipe;4;3;3;4;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Right side recipe;5;4;3;4;0;ice-cream;Green Tea-Ginger Ice Cream;Mile-High Ice Cream Cake;etichette;anti-calorie;Left side recipe;5;4;3;3;1;1867402
174;68;Female;31-40;more of 5 times at week;disoccupato;daily;3;lose weight;Molto importante;sano;Pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;proteine;anti-calorie;Ricetta lato sinistro;5;4;3;5;0;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Ricetta lato sinistro;4;5;4;4;0;Ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;nutriscore;anti-calorie;Ricetta lato sinistro;4;5;3;5;1;4920790
168;85;Female;41-59;0;Unemployed;daily;5;lose weight;Not important;;Prosciutto;Panino di Prosciutto e Fontina;Prosciutto-wrapped Mozzarella;etichette;anti-calorie;Left side recipe;5;4;1;5;1;Pasta-pesto;Spinach-Walnut Pesto;Delicioso Antipasto Pasta Salad;proteine;anti-calorie;Right side recipe;5;5;1;5;1;;Ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;calorie;anti-calorie;Ricetta lato sinistro;4;3;3;5;0;4298064
182;83;Male;41-59; 1 time at week;Self employed;daily;3;lose weight;Very important;Quite healty;pesce;Pesce Al Forno Con Pomodorini E Gremolata recipes;Crostini di Pesce Spada (smoked swordfish toasts);etichette;anti-calorie;Left side recipe;4;4;4;4;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Left side recipe;3;5;4;3;1;gelato;Strawberry Gelato recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;nutriscore;anti-calorie;Left side recipe;4;4;4;4;0;5458124
152;52;Female;20-25;0;Student;daily;3;No goals;Important;Healty;Smoked-salmon;Avocado On Rye Crackers With Smoked Salmon;Hot-Smoked Salmon Salad With A Chilli Lemon Dressing;nutriscore;anti-calorie;Left side recipe;5;5;5;5;0;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Left side recipe;5;5;5;5;0;Pancake;Tart-Sweet Lemon Blackberry Pancake Topping recipes;Chocolate Candy Cane Tower;calorie;anti-calorie;Left side recipe;5;5;5;5;0;8610995
160;40;Female;41-59;0;Self employed;rarely;4;No goals;Important;Not healthy;hamburger;Crispy Potato Wedges;Pulled Pork with Black Pepper Vinegar;nutriscore;anti-calorie;Left side recipe;3;3;2;2;1;fish;Steamed Fish With Ginger & Orange;Smoked Fish with Mustard, Dill and Caper Sauce;nutriscore;anti-calorie;Left side recipe;5;4;2;3;1;pancake;Tart-Sweet Lemon Blackberry Pancake Topping recipes;Chocolate Candy Cane Tower;calorie;anti-calorie;Left side recipe;1;1;1;1;0;6168289
160;54;Female;31-40;0;Private company staff;rarely;5;No goals;Important;Quite healty;Chicken;Chicken Saltimbocca;Fried Chicken;etichette;anti-calorie;Left side recipe;5;4;2;3;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Left side recipe;5;4;2;4;1;Tiramisu;Amaretto Tiramisu for Two;Tiramisu;calorie;anti-calorie;Right side recipe;5;3;3;3;1;4585001
170;69;Male;41-59;2-3 times at week;Public company staff;daily;1;gain weight;Important;Quite healty;Spaghetti;Spaghetti Cup Nests recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Left side recipe;3;3;3;4;0;Pizza;Grilled Green Onions with Picholine Olives, Lemon and Thyme;Stuffed Crust Cast-Iron Pizza with Smoked Mozzarella;nutriscore;anti-calorie;Right side recipe;4;3;3;4;1;Cake;Banana Rice Cake;Cake Doughnuts recipes;calorie;anti-calorie;Right side recipe;3;3;3;4;0;6238226
165;65;Female;41-59;0;Self employed;rarely;3;No goals;Very important;Not healthy;Salmon;Avocado On Rye Crackers With Smoked Salmon;Salmon Wellington;nutriscore;anti-calorie;Left side recipe;2;3;3;3;1;Sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;calorie;anti-calorie;Right side recipe;3;3;3;3;1;Pancake;Cinnamon Mascarpone Pancakes with Warm Morello Cherries and Hazelnuts;Chocolate Candy Cane Tower;etichette;anti-calorie;Left side recipe;3;3;3;3;0;5700200
160;75;Female;41-59; 1 time at week;Public company staff;rarely;2;lose weight;Very important;Quite healty;Chicken;Kickin' Chicken;Fried Chicken;proteine;anti-calorie;Left side recipe;4;4;3;3;0;Rice;Shrimp Summer Rolls with Sesame-Soy Dipping Sauce recipes;Salmon Rice Fritters;etichette;anti-calorie;Left side recipe;3;3;3;3;1;Cake;Melted Ice Cream Cake;Cake Doughnuts recipes;etichette;anti-calorie;Left side recipe;3;3;2;3;0;8795617
170;70;Male;60+;0;Public company staff;monthly;3;No goals;Important;Healty;Chicken;Kickin' Chicken;Fried Chicken;proteine;anti-calorie;Left side recipe;5;4;4;4;1;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Left side recipe;5;4;4;4;0;Cake;Cinnamon-Strawberry Cake recipes;Cake Doughnuts recipes;nutriscore;anti-calorie;Left side recipe;5;5;5;5;1;6051767
160;56;Female;41-59;0;Private company staff;daily;3;lose weight;Important;Quite healty;Stella;Lemon Parmesan Zucchini Chips with Basil Aioli;Have a Yummy Yuletide with Stella Cheese! recipes;etichette;anti-calorie;Left side recipe;4;4;4;3;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;5;5;5;5;1;Cake;Banana Rice Cake;Cake Doughnuts recipes;calorie;anti-calorie;None of these two;1;2;2;2;1;3784290
175;72;Female;41-59;0;Private company staff;daily;4;No goals;Important;Not healthy;pollo;Empanadas de Pollo al Verdeo (Chicken and Spring Onion Empanadas);Lizzys Pollo,Cilantro and Lime Empanada's;etichette;anti-calorie;None of these two;3;3;3;4;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;3;3;3;3;1;cake;Cinnamon-Strawberry Cake recipes;Cake Doughnuts recipes;nutriscore;anti-calorie;Left side recipe;3;3;3;3;0;9224849
183;72;Male;41-59;2-3 times at week;Personale aziendale privato;rarely;3;No goals;Molto importante;sano;smoked-salmon;Smoked Salmon Tartare;Hot-Smoked Salmon Salad With A Chilli Lemon Dressing;calorie;anti-calorie;Ricetta lato sinistro;4;5;3;2;0;rice;Cilantro Shrimp with Squash, Chard, and Wild Rice;Salmon Rice Fritters;nutriscore;anti-calorie;Left side recipe;4;5;2;4;1;cake;Simple Spiderweb Cake;Cake Doughnuts recipes;proteine;anti-calorie;Ricetta lato sinistro;3;2;2;3;0;6616662
158;55;Female;16-19;2-3 times at week;Student;rarely;2;lose weight;Very important;Quite healty;hamburger;Cream Cheese Pizza Pasties;Pulled Pork with Black Pepper Vinegar;etichette;anti-calorie;Left side recipe;3;2;2;1;0;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Right side recipe;4;2;1;1;0;gelato;Cinnamon Gelato with Malassadas recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;etichette;anti-calorie;Left side recipe;5;4;2;4;1;6370326
160;57;Female;41-59; 1 time at week;Public company staff;daily;5;lose weight;Important;Quite healty;Salmon;Smoked Salmon Tartare;Salmon Wellington;calorie;anti-calorie;Left side recipe;4;3;3;5;0;Rice;Shrimp Summer Rolls with Sesame-Soy Dipping Sauce recipes;Salmon Rice Fritters;etichette;anti-calorie;Left side recipe;4;4;4;3;0;Ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;proteine;anti-calorie;Right side recipe;5;2;1;2;0;4792366
161;65;Female;41-59;2-3 times at week;Self employed;daily;4;lose weight;Important;Healty;hamburger;Crisp Onion Relish;Pulled Pork with Black Pepper Vinegar;proteine;anti-calorie;Left side recipe;5;5;5;5;0;riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;calorie;anti-calorie;Right side recipe;5;5;5;5;1;gelato;Strawberry Gelato recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;proteine;anti-calorie;Left side recipe;5;5;5;5;1;4053053
180;74;Male;41-59;4-5 times at week;Self employed;daily;2;No goals;Very important;Quite healty;toast;Apricot-Hazelnut Toast;Sail Away Shrimp Toast;calorie;anti-calorie;Right side recipe;3;5;3;2;0;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Right side recipe;5;4;2;2;1;rice;DIY Rice Milk Recipe;Rice Pudding;nutriscore;anti-calorie;None of these two;1;3;3;2;1;7307230
163;67;Female;41-59;2-3 times at week;Student;monthly;2;lose weight;Not important;Quite healty;CHICKEN;Kickin' Chicken;Fried Chicken;calorie;anti-calorie;Left side recipe;2;3;4;2;1;CHICKEN;Mexicali Chicken;Fried Chicken;nutriscore;anti-calorie;None of these two;3;3;2;3;0;CHICKEN;Chicken Pot Pie Turnovers;Chicken Pot Pie;calorie;anti-calorie;Right side recipe;3;3;2;4;1;1564420
174;98;Male;60+;0;Public company staff;rarely;1;lose weight;Very important;Quite healty;mozzarella;Balsamic Rhubarb with Breadpudding and Mozzarella;Stuffed Crust Cast-Iron Pizza with Smoked Mozzarella;calorie;anti-calorie;Right side recipe;4;2;1;3;1;Sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;nutriscore;anti-calorie;Right side recipe;5;3;2;3;1;Ice-cream;Green Tea-Ginger Ice Cream;Mile-High Ice Cream Cake;etichette;anti-calorie;Right side recipe;5;1;1;3;1;9899044
164;56;Female;41-59;2-3 times at week;Public company staff;rarely;3;lose weight;Very important;Healty;Salmone;Endive with Salmon and Capers;Salmon Wellington;proteine;anti-calorie;Left side recipe;5;5;5;5;0;Carne;Spanish Rice;Vegetarian Tamales with Pinto Beans recipes;etichette;anti-calorie;None of these two;1;1;1;1;1;Gelato;Strawberry Gelato recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;calorie;anti-calorie;Left side recipe;4;5;4;5;0;9622509
177;89;Male;41-59; 1 time at week;Personale aziendale privato;rarely;3;lose weight;Importante;Abbastanza sano;pomodoro;Bruschetta Al Pomodoro - Tomato Bruschetta;Bruschetta Pomodoro;calorie;anti-calorie;Ricetta lato sinistro;4;4;4;4;0;riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;calorie;anti-calorie;Ricetta lato destro;4;4;4;4;1;gelato;Strawberry Gelato recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;calorie;anti-calorie;Nessuno di questi due;2;1;1;1;1;9365497
178;89;Male;20-25;2-3 times at week;Student;rarely;3;No goals;Important;Healty;Carbonara;Carbonara-Style Baked Stuffed Potatoes;Carbonara-Style Baked Stuffed Potatoes;etichette;anti-calorie;Left side recipe;5;5;5;5;1;C;Sweet Onion Tart;Pea Fritters;etichette;anti-calorie;Left side recipe;5;5;5;5;1;Cake;Simple Spiderweb Cake;Cake Doughnuts recipes;proteine;anti-calorie;Right side recipe;5;5;5;5;1;1374250
174;85;Male;41-59;0;Personale aziendale privato;rarely;3;lose weight;Molto importante;Non salutare;Pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;calorie;anti-calorie;Ricetta lato sinistro;5;3;3;4;0;Spaghetti;Easy, Cheesy Zucchini Bake;Amalfi Calamari Pasta;etichette;anti-calorie;Ricetta lato destro;5;4;3;4;0;Crema;Frozen Chocolate Dream Shooters;Mexican Chocolate Pecan Pie;calorie;anti-calorie;Nessuno di questi due;1;2;2;2;0;8798604
160;68;Female;41-59;0;Public company staff;daily;4;No goals;Important;Healty;ham;Green Eggs and Ham Omelet recipes;Garlicky Ham and Swiss;nutriscore;anti-calorie;Left side recipe;5;4;3;5;0;fish;Steamed Fish With Ginger & Orange;Smoked Fish with Mustard, Dill and Caper Sauce;nutriscore;anti-calorie;Left side recipe;5;5;5;5;0;ice;Ice Cream In A Bag;Ice Box Cafe Peanut Butter Ice Cream Cake;etichette;anti-calorie;Left side recipe;4;3;3;2;0;2792958
152;82;Female;41-59;0;Personale dell'azienda pubblica;rarely;2;lose weight;Importante;Non salutare;prosciutto;Prosciutto-Wrapped Asparagus;Prosciutto-wrapped Mozzarella;nutriscore;anti-calorie;Ricetta lato sinistro;2;5;5;2;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Ricetta lato destro;5;1;1;2;0;cioccolato;Cupcakes with bacon, pineapple and chives;Crostata di castagne, cioccolato e pere (c;etichette;anti-calorie;Ricetta lato destro;5;3;3;4;0;9571983
152;82;Female;41-59;0;Personale dell'azienda pubblica;rarely;2;lose weight;Importante;Non salutare;mozzarella;Zucchini Canoes;Stuffed Crust Cast-Iron Pizza with Smoked Mozzarella;etichette;anti-calorie;Ricetta lato sinistro;5;5;2;5;1;sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;calorie;anti-calorie;Ricetta lato destro;5;2;1;1;0;panna;Pandan Coconut Panna Cotta;Chocolate Panna Cotta Layer Cake;nutriscore;anti-calorie;Ricetta lato destro;5;1;1;1;1;2991960
160;50;Female;41-59;0;Personale dell'azienda pubblica;rarely;4;No goals;Molto importante;Abbastanza sano;Crocchette;Potato Croquettes (Crocchette di Patate);Potato Croquettes (Crocchette di Patate);calorie;anti-calorie;Ricetta lato sinistro;5;2;1;5;0;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Ricetta lato sinistro;5;5;1;5;0;Torta;Campari & Grapefruit Sorbet;Torta di Castagne - Chestnut Cake;proteine;anti-calorie;Ricetta lato destro;5;5;1;2;1;4654234
180;85;Male;31-40;2-3 times at week;Public company staff;daily;4;gain weight;Important;Quite healty;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Right side recipe;3;3;3;3;1;Dolce;Endive with Pecorino and Honey;Casatiello Napoletano - Stuffed Italian Bread;calorie;anti-calorie;Right side recipe;3;4;3;4;1;Gelato;Strawberry Gelato recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;proteine;anti-calorie;Left side recipe;4;4;5;4;1;4881568
170;70;Female;60+;2-3 times at week;Public company staff;rarely;3;No goals;Important;Quite healty;hamburger;Crispy Potato Wedges;Pulled Pork with Black Pepper Vinegar;nutriscore;anti-calorie;Left side recipe;5;3;1;2;1;sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;etichette;anti-calorie;Left side recipe;4;4;4;3;1;cake;Banana Rice Cake;Cake Doughnuts recipes;calorie;anti-calorie;Left side recipe;5;4;4;5;1;5929687
183;105;Male;60+;0;Disoccupati;rarely;3;No goals;Importante;sana;Pesce;Crostini di Pesce Spada (smoked swordfish toasts);Crostini di Pesce Spada (smoked swordfish toasts);proteine;anti-calorie;Nessuna di queste due ricette;1;1;1;1;1;Riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;nutriscore;anti-calorie;sul lato destro;5;2;1;1;0;Torta;Torta Mimosa;Torta di Castagne - Chestnut Cake;calorie;anti-calorie;Ricetta sul lato sinistro;1;1;1;5;1;3684714
178;100;Male;41-59;0;Public company staff;monthly;4;lose weight;Very important;Quite healty;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Right side recipe;5;4;3;2;1;salmon;Smoked Salmon Tartare;Salmon Wellington;calorie;anti-calorie;Left side recipe;4;3;4;3;1;tiramisu;Blueberry-Lemon Tiramisu;Tiramisu;proteine;anti-calorie;Left side recipe;5;4;2;4;0;8447445
173;95;Female;60+;0;Public company staff;rarely;3;lose weight;Very important;Quite healty;Hamburger;Cream Cheese Pizza Pasties;Pulled Pork with Black Pepper Vinegar;etichette;anti-calorie;Left side recipe;3;3;4;3;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Right side recipe;4;2;1;2;1;Ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;calorie;anti-calorie;Right side recipe;4;1;1;2;0;1581075
165;58;Female;31-40;0;Public company staff;daily;3;lose weight;Important;Healty;Fish;Steamed Fish With Ginger & Orange;Smoked Fish with Mustard, Dill and Caper Sauce;nutriscore;anti-calorie;Left side recipe;5;5;5;5;0;Rice;Shrimp Summer Rolls with Sesame-Soy Dipping Sauce recipes;Salmon Rice Fritters;etichette;anti-calorie;Right side recipe;5;5;5;5;0;Ice;Ice Cream In A Bag;Ice Box Cafe Peanut Butter Ice Cream Cake;etichette;anti-calorie;Right side recipe;3;1;1;3;1;2916494
