altezza; peso; sesso; età; sport; occupazione; esperienza_web; esperienza_cucina; obiettivo; opinione_stile_di_vita; importanza_stile_di_vita; query1; nomericettasinistra1; nomericettadestra1; ordinamentosinistra1; ordinamentodestra1; preferenza1; saporito1; sano1; perd/prend_peso1; facile1; etichette_mostrate1; query2; nomericettasinistra2; nomericettadestra2; ordinamentosinistra2; ordinamentodestra2; preferenza2; saporito2; sano2; perd/prend_peso2; facile2; etichette_mostrate2; query3; nomericettasinistra3; nomericettadestra3; ordinamentosinistra3; ordinamentodestra3; preferenza3; saporito3; sano3; perd/prend_peso3; facile3; etichette_mostrate3; numero_associato
160;62;Female;41-59; 1 time at week;Public company staff;daily;4;gain weight;Very important;Quite healty;hamburger;Crisp Onion Relish;Pulled Pork with Black Pepper Vinegar;proteine;anti-calorie;Right side recipe;3;4;4;4;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Right side recipe;3;4;4;4;0;ice-cream;Green Tea-Ginger Ice Cream;Mile-High Ice Cream Cake;etichette;anti-calorie;Right side recipe;5;5;5;5;0;6465787
161;66;Male;41-59; 1 time at week;Public company staff;daily;3;gain weight;Important;Quite healty;chicken;Kickin' Chicken;Fried Chicken;calorie;anti-calorie;Left side recipe;4;4;4;4;0;sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;calorie;anti-calorie;Right side recipe;3;3;4;4;1;cake;Cinnamon-Strawberry Cake recipes;Cake Doughnuts recipes;nutriscore;anti-calorie;Left side recipe;4;4;4;4;1;1405879
150;73;Female;41-59;0;Personale dell'azienda pubblica;monthly;3;lose weight;Importante;Abbastanza sano;PASTA;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Nessuno di questi due;1;1;1;1;0;PANE;Palak paneer recipe â�� Spinach with;Artichoke Jalapeno Bruschetta #SundaySuppe;etichette;anti-calorie;Ricetta lato sinistro;3;3;2;4;0;PESCE;Zuppa Di Pesce;Zuppa Di Pesce Fra Di Avolo;proteine;anti-calorie;Ricetta lato destro;3;3;3;3;1;5136641
160;52;Female;41-59;4-5 times at week;Personale aziendale privato;monthly;3;lose weight;Importante;Abbastanza sano;pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;calorie;anti-calorie;Ricetta lato sinistro;4;1;1;4;0;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Ricetta lato sinistro;4;4;4;4;1;ice-cream;Green Tea-Ginger Ice Cream;Mile-High Ice Cream Cake;etichette;anti-calorie;Ricetta lato sinistro;5;3;3;5;1;5276547
158;64;Female;41-59;0;disoccupato;monthly;3;lose weight;Molto importante;Abbastanza sano;salmone;Spring Salmon Fettuccine;Salmon Wellington;etichette;anti-calorie;Ricetta lato destro;5;4;4;4;0;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Ricetta lato destro;5;5;3;5;1;Cake;Simple Spiderweb Cake;Cake Doughnuts recipes;proteine;anti-calorie;Left side recipe;5;3;3;5;0;2862354
175;63;Female;41-59; 1 time at week;Lavoratore autonomo;rarely;3;No goals;Molto importante;sano;Bruschetta;Polenta Bruschetta With Tapenade;Muffuletta Bruschetta;etichette;anti-calorie;Ricetta lato destro;4;3;2;3;1;Sushi;Sesame Seaweed Snacks;Spanish Tapas;calorie;anti-calorie;Ricetta lato destro;3;3;4;5;1;Soufflé;Pumpkin Pie SoufflÃ© with Cand;Mini Chocolate SoufflÃ©s;calorie;anti-calorie;Ricetta lato destro;5;5;4;2;0;8867580
160;66;Female;41-59;0;Public company staff;rarely;3;No goals;Important;Quite healty;Chicken;Kickin' Chicken;Fried Chicken;calorie;anti-calorie;Left side recipe;3;3;3;3;0;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Right side recipe;3;3;4;4;1;Cake;Melted Ice Cream Cake;Cake Doughnuts recipes;etichette;anti-calorie;Right side recipe;3;4;4;4;1;4771696
160;60;Female;31-40;0;disoccupato;rarely;3;No goals;Importante;Abbastanza sano;Salmone;Endive with Salmon and Capers;Salmon Wellington;proteine;anti-calorie;Ricetta lato sinistro;3;3;3;3;1;Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;etichette;anti-calorie;Nessuno di questi due;1;1;1;1;0;Cake;Melted Ice Cream Cake;Cake Doughnuts recipes;etichette;anti-calorie;Ricetta lato destro;3;3;3;3;1;2425192
172;80;Male;20-25;0;Alunno;rarely;3;lose weight;Molto importante;Non salutare;Prosciutto;Prosciutto-Wrapped Asparagus;Prosciutto-wrapped Mozzarella;nutriscore;anti-calorie;Ricetta lato destro;3;2;2;5;1;Riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;nutriscore;anti-calorie;Ricetta lato destro;5;5;5;5;1;Cheesecake;Lemon Cheesecake Cupcakes;Cheesecake-Stuffed Luscious Lemon Cake;proteine;anti-calorie;Nessuno di questi due;1;1;1;1;1;1095036
165;61;Female;41-59;0;Personale dell'azienda pubblica;rarely;3;lose weight;Importante;Non salutare;prosciutto;Panino di Prosciutto e Fontina;Prosciutto-wrapped Mozzarella;etichette;anti-calorie;Ricetta lato destro;5;5;5;3;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Ricetta lato sinistro;3;5;5;5;0;cheesecake;Pumpkin Cheesecake Pie;Cheesecake-Stuffed Luscious Lemon Cake;nutriscore;anti-calorie;Ricetta lato destro;3;1;1;1;0;7517835
158;58;Female;41-59;2-3 times at week;Private company staff;monthly;3;gain weight;Important;Quite healty;carne;Spanish Rice;Vegetarian Tamales with Pinto Beans recipes;etichette;anti-calorie;Left side recipe;3;4;4;4;1;cioccolato;Fichi secchi al cioccolato (chocolate dipp;Fichi secchi al cioccolato (chocolate dipp;etichette;anti-calorie;None of these two;4;5;4;4;1;spaghetti;Clean Eating Spaghetti Pie recipes;Spaghetti and Meatball Cake;etichette;anti-calorie;Right side recipe;4;5;5;4;0;1181653
158;56;Female;41-59; 1 time at week;Personale dell'azienda pubblica;rarely;2;lose weight;Importante;Abbastanza sano;Pesce;Pesce Al Forno Con Pomodorini E Gremolata recipes;Crostini di Pesce Spada (smoked swordfish toasts);calorie;anti-calorie;Ricetta lato sinistro;3;4;3;4;1;Riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;proteine;anti-calorie;Ricetta lato sinistro;4;3;3;4;0;Ananas;Orange Mousse with Carmelized Anana;Pineapple & Marzipan Cake (Ananas-Marzipankuchen);nutriscore;anti-calorie;Ricetta lato destro;4;5;4;5;0;6597906
165;55;Female;26-30;4-5 times at week;Public company staff;daily;3;gain weight;Very important;Very healty;tartine;Tic Tac Toe Tartine with Red Radishes;SMOKED SALMON TARTINE with asparagus butte;nutriscore;anti-calorie;Left side recipe;4;3;4;5;1;lasagne;"Stuffed Poblano" Mexican Lasagn;"Stuffed Poblano" Mexican Lasagn;nutriscore;anti-calorie;None of these two;4;4;4;4;1;crostata;Free-Form Plum Crostata;Pear and Cranberry Crostata;calorie;anti-calorie;Left side recipe;5;5;4;5;1;5262594
176;60;Female;41-59;2-3 times at week;Personale dell'azienda pubblica;rarely;3;No goals;Molto importante;sano;Fruit;Spiced Fruit Chips;Sugar-and-Spice Fruit Tamales recipes;proteine;anti-calorie;Ricetta lato sinistro;2;5;1;5;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Ricetta lato sinistro;2;5;3;5;0;Cake;Melted Ice Cream Cake;Cake Doughnuts recipes;etichette;anti-calorie;Nessuno di questi due;1;1;1;1;1;5284106
176;76;Male;20-25;4-5 times at week;Student;rarely;1;lose weight;Important;Healty;salame;Tuscan Chicken Liver Crostini (Crostini di Fegatini);Galangal-fried Chicken Recipe;etichette;anti-calorie;Left side recipe;3;5;3;5;0;pesto;Lox on Crispbreads;Grilled Sea Scallops on Tortilla Chips with Avocado Puree and Jalapeno Pesto 2;nutriscore;anti-calorie;Left side recipe;5;5;5;5;1;panna;Pandan Coconut Panna Cotta;Chocolate Panna Cotta Layer Cake;nutriscore;anti-calorie;Right side recipe;5;1;1;1;1;4100319
187;94;Male;26-30;2-3 times at week;Unemployed;rarely;2;No goals;Important;Quite healty;polpo;Steamed Monkfish: Polpo in Umido;POLPO AL PINOT NERO con patate e salsa all;proteine;anti-calorie;Left side recipe;5;5;3;3;1;pasta-pesto;Spinach-Walnut Pesto;Delicioso Antipasto Pasta Salad;proteine;anti-calorie;Left side recipe;3;5;3;4;1;torta;Caprese Cake;Torta di Castagne - Chestnut Cake;etichette;anti-calorie;Left side recipe;5;4;4;4;0;9054675
169;62;Female;16-19; 1 time at week;Student;rarely;1;No goals;Important;Quite healty;chips;Tuscan Kale Chips;Waffle Chips;nutriscore;anti-calorie;Right side recipe;5;3;3;3;0;spaghetti;Spaghetti Cup Nests recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Left side recipe;3;5;5;5;0;nutella;Chocolate-Hazelnut Spread Hot Fudge Sauce;Strawberry Chocolate Layer Cake;proteine;anti-calorie;Left side recipe;5;3;4;5;1;8945780
168;71;Male;16-19;2-3 times at week;Student;rarely;3;No goals;Poorly important;Not healthy;ham;Ham Pinwheels recipes;Garlicky Ham and Swiss;calorie;anti-calorie;Right side recipe;5;3;2;2;0;pasta-sugo;Pesto Di Panna Nocci;Pesto Di Panna Nocci;etichette;anti-calorie;Left side recipe;4;3;3;3;0;ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;proteine;anti-calorie;Left side recipe;3;4;5;5;0;3660503
167;78;Female;60+;0;disoccupato;rarely;5;No goals;Molto importante;Molto salutare;salsa;Spring Radish Salsa;Salsa Chicken Tenders;calorie;anti-calorie;Ricetta lato destro;4;1;2;2;1;lasagne;"Stuffed Poblano" Mexican Lasagn;"Stuffed Poblano" Mexican Lasagn;etichette;anti-calorie;Nessuno di questi due;1;1;1;1;0;ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;nutriscore;anti-calorie;Ricetta lato destro;4;1;2;1;0;8678799
186;110;Male;20-25;0;Student;daily;2;lose weight;Very important;Quite healty;chicken;Kickin' Chicken;Fried Chicken;calorie;anti-calorie;Left side recipe;5;5;4;5;0;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;5;2;2;3;0;pancake;Tart-Sweet Lemon Blackberry Pancake Topping recipes;Chocolate Candy Cane Tower;calorie;anti-calorie;Left side recipe;5;4;4;4;0;2412490
180;94;Male;60+;2-3 times at week;disoccupato;rarely;3;No goals;Molto importante;sano;mozzarella;Balsamic Rhubarb with Breadpudding and Mozzarella;Stuffed Crust Cast-Iron Pizza with Smoked Mozzarella;calorie;anti-calorie;Right side recipe;5;3;2;1;1;risotto;Tomato Risotto;Beet Risotto;calorie;anti-calorie;Ricetta lato sinistro;4;3;2;3;1;torta;Caprese Cake;Torta di Castagne - Chestnut Cake;etichette;anti-calorie;Ricetta lato destro;4;3;2;1;1;7562382
172;90;Female;31-40;2-3 times at week;Private company staff;daily;4;No goals;Important;Healty;hamburger;Cream Cheese Pizza Pasties;Pulled Pork with Black Pepper Vinegar;etichette;anti-calorie;Right side recipe;5;2;1;3;1;rice;Quickie Pickled Radishes;Salmon Rice Fritters;proteine;anti-calorie;None of these two;1;1;1;1;0;ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;calorie;anti-calorie;Left side recipe;3;4;3;5;1;2621387
180;79;Male;20-25;2-3 times at week;Private company staff;rarely;2;No goals;Poorly important;Quite healty;tonno;Pasta Al Tonno E Caperi;Tuna and Ricotta Fritters (Polpette di Tonno e Ricotta);calorie;anti-calorie;Left side recipe;5;4;4;4;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;5;3;3;2;0;tartufo;Pistachio Tartufo recipes;Pistachio Tartufo recipes;nutriscore;anti-calorie;Left side recipe;4;3;5;1;1;4819410
176;70;Female;20-25;2-3 times at week;Student;rarely;2;No goals;Important;Healty;salmon;Smoked Salmon Collard Wraps;Salmon Wellington;etichette;anti-calorie;Left side recipe;3;4;5;3;1;sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;calorie;anti-calorie;Left side recipe;3;5;5;5;1;banana;Pumpkin Gingerbread Banana Soft Serve;Chocolate Banana Cupcakes;proteine;anti-calorie;Right side recipe;5;2;2;1;1;4337473
190;94;Male;26-30; 1 time at week;Private company staff;rarely;1;lose weight;Important;Quite healty;mais;Popcorn Popped in Bacon Fat;Red Chile Chicken Tamales;proteine;anti-calorie;Left side recipe;5;4;4;3;1;rice;Cilantro Shrimp with Squash, Chard, and Wild Rice;Salmon Rice Fritters;nutriscore;anti-calorie;Left side recipe;3;4;4;5;0;pancake;Chris Santos's Oreo Pancake Recipe Is a Brunch-Party Pleaser;Chocolate Candy Cane Tower;proteine;anti-calorie;Left side recipe;5;3;3;3;1;2317091
165;78;Female;20-25;0;Student;rarely;5;No goals;Important;Quite healty;Patate;Potato Croquettes (Crocchette di Patate);Potato Croquettes---Panzeroti di Patate;calorie;anti-calorie;Right side recipe;5;1;1;1;0;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;5;1;1;1;1;Mascarpone;Lemon-Blueberry with Mascarpone Oatmeal;Orange Marmalade Tarts with Bittersweet Chocolate Ganache and Mascarpone Crème;nutriscore;anti-calorie;Right side recipe;5;1;1;1;1;3301589
165;78;Female;41-59;2-3 times at week;Personale aziendale privato;monthly;4;lose weight;Importante;sano;Salmone;Endive with Salmon and Capers;Salmon Wellington;proteine;anti-calorie;Ricetta lato destro;5;3;3;3;1;Riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;calorie;anti-calorie;Ricetta lato sinistro;4;5;5;5;1;Ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;calorie;anti-calorie;Ricetta lato sinistro;5;4;3;5;0;8303336
176;73;Female;20-25;2-3 times at week;Student;rarely;2;No goals;Poorly important;Not healthy;hamburger;Crispy Potato Wedges;Pulled Pork with Black Pepper Vinegar;nutriscore;anti-calorie;Left side recipe;3;4;4;5;1;pasta-tonno;Pasta Al Tonno E Caperi;Pasta Al Tonno E Caperi;calorie;anti-calorie;Left side recipe;4;4;4;4;0;cheese-cake;Birthday Cake Cream Cheese Will Get Any Party Started;Vanilla-Buttermilk Wedding Cake With Raspberries and Orange Cream-Cheese Frosting;proteine;anti-calorie;Left side recipe;2;5;5;5;1;7758499
181;89;Male;16-19;0;Student;rarely;1;No goals;Poorly important;Not healthy;pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;nutriscore;anti-calorie;Left side recipe;5;3;2;2;0;sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;etichette;anti-calorie;Left side recipe;3;3;3;4;1;pancake;Chris Santos's Oreo Pancake Recipe Is a Brunch-Party Pleaser;Chocolate Candy Cane Tower;proteine;anti-calorie;Left side recipe;4;2;2;1;0;2030544
178;70;Female;60+;0;Public company staff;rarely;3;No goals;Important;Quite healty;Prosciutto;Prosciutto-Wrapped Shrimp With Orange Marmalade;Prosciutto-wrapped Mozzarella;etichette;anti-calorie;Right side recipe;5;3;2;5;0;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;None of these two;1;1;1;1;1;Ice-cream;Ice-Cream Tacos recipes;Fried Ice Cream with Cereal Crust;etichette;anti-calorie;Left side recipe;4;4;2;4;1;5114849
168;62;Female;41-59;more of 5 times at week;Public company staff;monthly;2;lose weight;Poorly important;Very healty;Smoked-salmon;Endive with Salmon and Capers;Hot-Smoked Salmon Salad With A Chilli Lemon Dressing;proteine;anti-calorie;Right side recipe;3;4;3;4;0;Italian;Homemade Italian Breadcrumbs;Grilled Italian Sausage with Sweet 'n Sour Peppers;nutriscore;anti-calorie;Left side recipe;4;3;4;4;0;Ice-;Guava on Shaved Ice;Ice Box Cafe Peanut Butter Ice Cream Cake;nutriscore;anti-calorie;Left side recipe;3;4;3;3;1;3620308
180;78;Male;20-25; 1 time at week;Private company staff;monthly;3;No goals;Not important;Not healthy;peperoni;Peperoni e Tonno (Tuna-Stuffed Pepper Rolls);Real Men Do Eat Quiche;calorie;anti-calorie;Left side recipe;3;5;5;1;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Right side recipe;5;3;2;2;0;cake;Lady Baltimore Cake;Cake Doughnuts recipes;etichette;anti-calorie;Left side recipe;5;2;2;2;0;8959075
190;100;Male;26-30;0;Unemployed;rarely;2;lose weight;Poorly important;Absolutely not healthy;polpo;Steamed Monkfish: Polpo in Umido;POLPO AL PINOT NERO con patate e salsa all;proteine;anti-calorie;Ricetta lato destro;5;3;1;2;0;riso;Leftover Turkey Mushroom and Pancetta Riso;Rosmarino e’ Aglio Bistecca con Riso;calorie;anti-calorie;Left side recipe;4;3;3;2;0;oreo;Garden Goodie;Cheery Cheesecake Santa Hats;nutriscore;anti-calorie;Left side recipe;3;2;2;5;0;1246249
168;64;Female;26-30;2-3 times at week;Public company staff;monthly;3;No goals;Important;Quite healty;salmon;Avocado On Rye Crackers With Smoked Salmon;Salmon Wellington;proteine;anti-calorie;Left side recipe;4;5;5;3;1;pesto;Lox on Crispbreads;Grilled Sea Scallops on Tortilla Chips with Avocado Puree and Jalapeno Pesto 2;calorie;anti-calorie;Left side recipe;5;3;4;5;1;sorbetto;Cherry Key Lime Sorbetto;Mascarpone Sorbetto with Rosemary Honey;nutriscore;anti-calorie;Left side recipe;4;4;4;3;1;5237427
189;95;Female;31-40; 1 time at week;Public company staff;rarely;3;lose weight;Important;Not healthy;hamburger;Crispy Potato Wedges;Pulled Pork with Black Pepper Vinegar;nutriscore;anti-calorie;Right side recipe;5;2;1;1;0;minestrone;The Italian Baker's Grissini Torinesi Recipe;Winter Minestrone and Garlic Bruschetta;nutriscore;anti-calorie;Left side recipe;2;5;5;5;1;cioccolato;Arance candite con cioccolato (chocolate d;Crostata di castagne, cioccolato e pere (c;nutriscore;anti-calorie;Left side recipe;4;5;5;5;1;6379227
167;78;Female;60+;0;disoccupato;rarely;5;No goals;Molto importante;Molto salutare;Pork;Pork With Garlicky Bean Mash;Pork Egg Rolls recipes;nutriscore;anti-calorie;None of these two;1;2;3;2;1;Rice;Pad See-Ew Recipe;Salmon Rice Fritters;etichette;anti-calorie;None of these two;4;2;4;3;0;Ricotta;Cherries With Ricotta & Toasted Almonds;Ricotta Cannoli Cheesecake;nutriscore;anti-calorie;Right side recipe;4;4;4;4;1;8831707
175;65;Male;60+;2-3 times at week;Unemployed;daily;5;No goals;Very important;Very healty;smoked-salmon;Avocado On Rye Crackers With Smoked Salmon;Hot-Smoked Salmon Salad With A Chilli Lemon Dressing;nutriscore;anti-calorie;Left side recipe;4;4;4;5;0;rice-bean;Mojo Pork with Sweet Plantains;Green Bean and Shiitake Tempura with Ponzu Mayonnaise Recipe;etichette;anti-calorie;None of these two;1;1;1;1;1;ice-cream;Vanilla Ice-Cream Latte;Fried Ice Cream with Cereal Crust;calorie;anti-calorie;Left side recipe;4;3;4;4;1;2496051
180;81;Male;26-30;2-3 times at week;Private company staff;rarely;2;No goals;Poorly important;Quite healty;insalata;Insalata di arance, olive e finocchio (ora;Insalata Di Rucola E Pera;nutriscore;anti-calorie;Left side recipe;4;5;5;5;0;risotto;Tomato Risotto;Radicchio Risotto recipes;nutriscore;anti-calorie;Left side recipe;3;5;5;5;1;mousse;Strawberry Mousse Parfait;Banana Bread French Toast with Peanut Butter Mousse;proteine;anti-calorie;Left side recipe;5;3;3;3;1;8326506
150;55;Female;26-30; 1 time at week;Public company staff;daily;3;lose weight;Important;Not healthy;salame;Chayote and Chili Stir Fry;Galangal-fried Chicken Recipe;calorie;anti-calorie;None of these two;3;4;5;4;0;tagliatelle;Asparagus & Smashed Garlic Tagliatelle;Cucumbers with Salmon and Tagliatelle;nutriscore;anti-calorie;None of these two;3;5;5;5;1;bigne;Bignè di San Giuseppe (Italian Cream Puffs);Bignè di San Giuseppe (Italian Cream Puffs);nutriscore;anti-calorie;Left side recipe;5;5;5;5;0;2272190
180;75;Male;41-59;4-5 times at week;Public company staff;monthly;3;gain weight;Important;Quite healty;cozze;Perfectly steamed mussels (Cozze Serenissime) recipes;Steamed Mussels with Chicory: Cozze con Cicoria;calorie;anti-calorie;Left side recipe;4;4;4;5;0;risotto;Wild Mushroom Risotto;Radicchio Risotto recipes;etichette;anti-calorie;None of these two;4;5;5;5;0;crostata;peach-rhubarb crostata;Pear and Cranberry Crostata;nutriscore;anti-calorie;Right side recipe;5;5;5;5;1;6659181
160;60;Female;31-40;2-3 times at week;Public company staff;monthly;4;lose weight;Important;Very healty;riso;Leftover Turkey Mushroom and Pancetta Riso;Rosmarino e’ Aglio Bistecca con Riso;calorie;anti-calorie;Left side recipe;5;5;4;5;1;pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;nutriscore;anti-calorie;None of these two;5;5;5;5;1;semifreddo;Dessert Apple Rings With Cinnamon Cream Syrup;Snickers Semifreddo Cake;etichette;anti-calorie;Left side recipe;5;5;5;5;0;4941953
167;57;Female;31-40;4-5 times at week;Public company staff;monthly;4;gain weight;Important;Healty;gamberi;Gamberi Al Rosmarino (Shrimp With Pancetta And Rosemary);Risotto con Gamberi;proteine;anti-calorie;Left side recipe;5;4;4;5;0;linguine;Mushrooms, Peas And Herbs For Spring;Mediterranean Catfish Spaghetti;calorie;anti-calorie;Left side recipe;5;5;5;5;0;panna;Pretty In Pink Panna Cotta;Chocolate Panna Cotta Layer Cake;calorie;anti-calorie;None of these two;4;4;5;4;1;3523518
165;45;Male;16-19;2-3 times at week;Alunno;rarely;2;No goals;Molto importante;Molto salutare;hamburger;The Secret Ingredient (Ginger Jam): Sweet Ginger Seared Tuna Recipe;Pulled Pork with Black Pepper Vinegar;calorie;anti-calorie;Ricetta lato destro;4;3;2;1;0;risotto-di-mare;Croatian Dalmatian red risotto (fisherman's risotto);Risotto ai Frutti di Mare;etichette;anti-calorie;Ricetta lato destro;4;3;2;1;1;torta;Caprese Cake;Torta di Castagne - Chestnut Cake;etichette;anti-calorie;Ricetta lato sinistro;4;3;2;1;1;8190215
132;42;Male;16-19; 1 time at week;Alunno;rarely;1;No goals;Molto importante;Molto salutare;pollo;Empanadas de Pollo al Verdeo (Chicken and Spring Onion Empanadas);Lizzys Pollo,Cilantro and Lime Empanada's;etichette;anti-calorie;Ricetta lato sinistro;4;3;2;1;0;lasagne;"Stuffed Poblano" Mexican Lasagn;"Stuffed Poblano" Mexican Lasagn;calorie;anti-calorie;Nessuno di questi due;4;3;2;1;1;ice-cream;Vanilla Ice-Cream Latte;Fried Ice Cream with Cereal Crust;proteine;anti-calorie;Ricetta lato sinistro;4;3;2;1;1;1781195
189;69;Male;41-59; 1 time at week;Personale dell'azienda pubblica;monthly;4;No goals;Molto importante;Molto salutare;olive;Radishes with Olive Oil and Salt recipes;Olive Oil-Poached Tuna Provençal Recipe;calorie;anti-calorie;Ricetta lato destro;4;4;2;1;0;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Ricetta lato destro;4;4;4;3;0;crostata;peach-rhubarb crostata;Pear and Cranberry Crostata;calorie;anti-calorie;Ricetta lato destro;4;3;3;1;0;6702962
157;45;Female;16-19;more of 5 times at week;Alunno;rarely;1;No goals;Molto importante;Molto salutare;pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;nutriscore;anti-calorie;Ricetta lato sinistro;4;3;2;2;0;sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;proteine;anti-calorie;Ricetta lato destro;4;3;2;1;1;cake;Lady Baltimore Cake;Cake Doughnuts recipes;etichette;anti-calorie;Ricetta lato sinistro;4;4;2;1;1;4726183
167;57;Male;31-40; 1 time at week;Lavoratore autonomo;monthly;4;No goals;Molto importante;Molto salutare;salmone;Endive with Salmon and Capers;Salmon Wellington;proteine;anti-calorie;Ricetta lato sinistro;4;3;2;1;1;riso;Leftover Turkey Mushroom and Pancetta Riso;Rosmarino e’ Aglio Bistecca con Riso;proteine;anti-calorie;Ricetta lato destro;4;3;2;1;0;pancake;Chris Santos's Oreo Pancake Recipe Is a Brunch-Party Pleaser;Chocolate Candy Cane Tower;proteine;anti-calorie;Ricetta lato destro;5;3;2;2;0;5458581
169;45;Male;16-19;2-3 times at week;Alunno;rarely;3;No goals;Molto importante;Molto salutare;sushi;Wasabi Ahi Tuna Tartare;Spanish Tapas;nutriscore;anti-calorie;Ricetta lato sinistro;4;3;2;1;0;sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;proteine;anti-calorie;Ricetta lato sinistro;4;3;2;1;0;cake;Banana Rice Cake;Cake Doughnuts recipes;calorie;anti-calorie;Ricetta lato sinistro;4;3;2;2;0;8663759
179;46;Male;41-59;0;Personale dell'azienda pubblica;rarely;5;No goals;Molto importante;Molto salutare;pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;proteine;anti-calorie;Ricetta lato sinistro;4;3;2;1;1;risotto-di-mare;Croatian Dalmatian red risotto (fisherman's risotto);Risotto ai Frutti di Mare;nutriscore;anti-calorie;Ricetta lato destro;4;3;2;1;0;crep;Egg Fast Recipe – Snickerdoodle Crep;Egg Fast Recipe – Snickerdoodle Crep;etichette;anti-calorie;Ricetta lato sinistro;4;3;2;1;1;1518342
132;42;Female;16-19;0;Alunno;rarely;1;No goals;Molto importante;Molto salutare;pollo;Empanadas de Pollo al Verdeo (Chicken and Spring Onion Empanadas);Lizzys Pollo,Cilantro and Lime Empanada's;etichette;anti-calorie;Ricetta lato sinistro;4;3;2;1;0;riso;Leftover Turkey Mushroom and Pancetta Riso;Rosmarino e’ Aglio Bistecca con Riso;calorie;anti-calorie;Ricetta lato sinistro;4;3;2;1;0;cake;Lady Baltimore Cake;Cake Doughnuts recipes;etichette;anti-calorie;Ricetta lato destro;4;3;2;1;0;1490736
